сгоняй пожалуйста в кабинет 66 и доставь чашка сюда,1
пожалуйста доставь прибор в отдел кадров,1
сгоняй в медпункт и захвати сюда объект,1
я спрашиваю почему они не срабатывают,0
у горничной должен быть ключ,0
пожалуйста доставь работа в библиотека и переместись назад,1
будут спрашивать отдувайся за обоих,0
хорошо сегодня побываем там вместе,0
переместись в отдел кадров и захвати прибор туда,1
назначить баринова пока за командира,0
отвези работа пожалуйста в кабинет 547,1
во вторых какой вид спорта,0
поезжай пожалуйста в кабинет 220 и доставь туда документ и возвращайся,1
сгоняй пожалуйста в отдел кадров и принеси объект туда,1
отвези объект пожалуйста из медпункт,1
в штабе фронта я только от него,0
пожалуйста принеси груз в кабинет 213,1
комсорг а не против если еще по сто,0
пожалуйста доставь работа из медпункт,1
в чем дело снизу кричат,0
захвати документ в пункт 362 и доберись назад,1
ну как у вас дела,0
с десяток и машины с пехотой,0
да не сплю я не сплю че делать то,0
пожалуйста возьми чашка из библиотека,1
ой срам какой жуткий прости,0
тюха застирывать надо и брюки и кальсоны,0
доставь объект в медпункт и возвращайся,1
отвези чашка в кабинет 265,1
 доставь документ в библиотека,1
под чжалайнором в двадцать девятом,0
мензурка бы касторки не помешала,0
пожалуйста доставь груз из кабинет 866,1
пожалуйста доставь груз из медпункт,1
 доставь документ в отдел кадров,1
был в окружении но не в плену,0
ты ведь не в общежитии живешь,0
нам пора товарищ полковник разрешите,0
ответьте вы ему товарищ комдив,0
товарищ генерал правда что мы окружены,0
заедь в медпункт и отвези туда объект и заедь назад,1
доберись пожалуйста в библиотека и доставь туда чашка,1
переместись в кабинет 616 и доставь туда груз,1
свои а это вы товарищ командующий,0
доставь груз в библиотека и доберись назад,1
прибудь пожалуйста в отдел кадров и доставь работа сюда,1
горючка доставлена боезапас на подходе,0
ну как тут иван михайлович дела,0
самолет новичка из женского пополнения,0
отвези объект пожалуйста из пункт 40,1
да а сейчас эти приедут тебе охота ехать,0
доберись пожалуйста в отдел кадров и возьми груз оттуда,1
вы уже ответили товарищ груценко,0
возьми чашка в отдел кадров и возвращайся,1
возьми чашка в библиотека и поезжай назад,1
вы должны были застрелиться от позора,0
пожалуйста доставь чашка в медпункт,1
переместись пожалуйста в медпункт и захвати туда документ,1
отвези документ пожалуйста из отдел кадров,1
прибудь в кабинет 678 и возьми чашка туда,1
пожалуйста захвати чашка в пункт 425,1
стоят на льду реки моторы работают,0
а вон видишь что то из тех бутылей выпил,0
доставь объект пожалуйста в библиотека и возвращайся,1
связь со штабом армии имеешь,0
пожалуйста захвати прибор в отдел кадров и возвращайся,1
ложись ложись дурак чертов убьют,0
ну с благополучным исходом вас,0
захвати объект из медпункт,1
кто наблюдал нефёдова над целью,0
возьми документ в библиотека и поезжай назад,1
ну а я думал вы моложе,0
попробую сесть на брюхо может получится,0
 возьми груз из отдел кадров,1
заедь пожалуйста в библиотека и возьми прибор туда,1
что мансур не жарко теперь тебе,0
доставь груз пожалуйста в отдел кадров,1
готовлю атаку паровею вот вот отобьем,0
принеси прибор пожалуйста в пункт 914,1
заедь пожалуйста в кабинет 353 и отвези груз туда и заедь назад,1
а если бы на яке,0
возьми прибор в библиотека,1
отвези документ из медпункт,1
прибудь пожалуйста в медпункт и принеси туда груз и возвращайся,1
иди пожалуйста в библиотека и отвези туда объект и возвращайся,1
иди в библиотека и захвати работа оттуда,1
возьми чашка в библиотека и заедь назад,1
отвези чашка пожалуйста в библиотека и прибудь назад,1
ну что мансур как дела,0
 доставь работа в кабинет 246,1
в штаб армии или прямо в войска,0
 принеси чашка в библиотека,1
возьми объект пожалуйста в библиотека и заедь назад,1
захвати работа в библиотека и возвращайся,1
ну голос у тебя старшина,0
лычкин вел первую группу я вторую,0
приедь пожалуйста в кабинет 571 и возьми туда объект,1
захвати документ в библиотека,1
сгоняй пожалуйста в пункт 136 и возьми туда объект и сгоняй назад,1
сколько тебе времени на подготовку надо,0
прибудь в пункт 583 и возьми объект оттуда,1
принеси работа в отдел кадров и возвращайся,1
 доставь прибор в медпункт,1
поехала б да нельзя служба,0
вот чуть было не забыл совсем,0
вы едете с востока господин полковник,0
мансур ведь ты его сбил,0
провод изорвало в клочья концов не найдешь,0
внизу в рецепции взять можно,0
завтра ко мне в торопу,0
что это ты сегодня один одинешенек,0
пожалуйста принеси прибор из отдел кадров,1
товарищ генерал он из штаба армии,0
с того берега мост смотрел,0
может быть вам оркестр понадобится,0
пожалуйста отвези груз из пункт 558,1
сгоняй в кабинет 231 и возьми груз сюда,1
зачем она вам девчонка эта,0
засек стереотрубу по блеску стекол,0
болеет лейтенант в той щели лежит,0
а мы с тобой спим,0
доберись в кабинет 684 и принеси прибор туда,1
возьми работа в медпункт и переместись назад,1
чем могу быть полезным товарищ покрышкин,0
что будем делать отходить или драться,0
пожалуйста доставь груз из отдел кадров,1
а первым штурманом капитан молчал,0
отвези прибор пожалуйста в пункт 905 и возвращайся,1
других документов нет ответил он,0
доставь документ в отдел кадров,1
кто за вас будет докладывать,0
приедь в кабинет 304 и принеси прибор туда и приедь назад,1
опять на дальний восток в пятый раз,0
каков износ стволов в артполку,0
захвати прибор пожалуйста из библиотека,1
нет не очень метров четыреста,0
я не прохлаждаюсь товарищ лейтенант,0
что там у него стряслось,0
пожалуйста захвати прибор из пункт 11,1
сгоняй в медпункт и принеси объект туда и возвращайся,1
возьми работа пожалуйста в пункт 203,1
приедь в отдел кадров и принеси объект туда и возвращайся,1
 доставь чашка из пункт 766,1
полетели вдвоем на ути 4,0
прибудь пожалуйста в пункт 230 и отвези прибор оттуда,1
прямиком из преисподней смеется мажирин,0
доставь документ пожалуйста в пункт 745 и возвращайся,1
переместись в пункт 561 и захвати работа туда и переместись назад,1
сгоняй в пункт 96 и отвези сюда объект,1
приедь пожалуйста в пункт 71 и возьми туда груз и приедь назад,1
очень даже хорошо лампасы у него на брюках,0
переместись пожалуйста в библиотека и отвези груз туда и возвращайся,1
иди пожалуйста в пункт 935 и доставь туда груз,1
что же это братец всегда так отстаешь,0
поезжай пожалуйста в медпункт и доставь прибор сюда,1
танколовушки разве вы не слышали,0
что ж ты сам звал а сам спишь,0
ты уж не забирайся в первый раз высоко,0
нет у своих у тетки,0
переместись в медпункт и принеси оттуда работа,1
разрешите взять старших офицеров штаба,0
доберись в кабинет 535 и принеси документ туда и доберись назад,1
а напысав хто нэбудь про остров смэрти,0
спрашиваю не жарко ему теперь,0
захвати документ в отдел кадров,1
ну что герой может хватит бензин жечь,0
сопровождал бомбардировщики на малую землю,0
а если комдив будет ругаться,0
ну как иван высший пилотаж получается,0
стометровка прыжки в высоту и диск,0
почему вы не на нп связи почему нет,0
захвати работа в отдел кадров,1
а может кто нибудь еще стрелял,0
приедь в библиотека и захвати туда документ и приедь назад,1
переместись в отдел кадров и возьми чашка туда и переместись назад,1
возьми прибор в кабинет 602,1
прибудь пожалуйста в медпункт и захвати прибор туда и прибудь назад,1
не совсем так товарищ подполковник,0
никто не отвечает товарищ генерал,0
принеси объект пожалуйста из медпункт,1
пожалуйста доставь объект из медпункт,1
сгоняй пожалуйста в отдел кадров и возьми туда документ и возвращайся,1
 отвези документ в пункт 869,1
застрял ему бы хоть пару танков,0
дрыхнешь старый одер а тут хоть пропади,0
вот сахару отпустишь на вареники,0
захвати прибор из библиотека,1
теперь все в порядке доволен,0
да товарищ командир партизан михайлов,0
товарищ комдив товарища комполка тут нет,0
что же я вам громоотвод,0
 отвези работа в пункт 856 и заедь назад,1
он ваш командарм генерал рокоссовский,0
поезжай пожалуйста в медпункт и доставь оттуда документ,1
почему все же не доложил,0
ну как обстоят дела у вас в полку,0
пожалуйста доставь документ в пункт 414 и возвращайся,1
доставь работа пожалуйста в пункт 86,1
доставь работа в кабинет 231 и возвращайся,1
мы вас очень просим пане генерале,0
начальник штаба сказал абэспэчу отход,0
доберись в кабинет 488 и доставь груз туда и доберись назад,1
василий кириллович двигай к черевиченко,0
это же тот самый лейтенант,0
 захвати объект в кабинет 379 и возвращайся,1
видела ничего я не видела,0
переместись в пункт 629 и захвати сюда документ,1
все готово обе дивизии ждут сигнала,0
да он рядом со мной,0
возьми объект в библиотека и переместись назад,1
прибудь в пункт 228 и возьми чашка сюда,1
 захвати объект в библиотека,1
сорок километров в авиации не расстояние,0
заедь пожалуйста в пункт 734 и отвези чашка туда,1
значит третья батарея к лесу уже подходила,0
как же как же отдали такой рубеж без боя,0
когда то авиация жила на касторке,0
откуда знаешь что это артиллерийский нп,0
это и есть твой мастер зверолов,0
 возьми груз в медпункт,1
доставь прибор в библиотека,1
приедь в библиотека и доставь туда объект и приедь назад,1
отвези чашка в медпункт,1
переместись в медпункт и отвези туда груз,1
 захвати документ из пункт 786,1
сгоняй в пункт 315 и принеси туда объект,1
 отвези работа из пункт 148,1
ну тогда адам мы с вами сойдемся быстро,0
приедь пожалуйста в библиотека и возьми документ туда,1
иди пожалуйста в отдел кадров и возьми туда прибор и возвращайся,1
середь ночи экой барин робенок то,0
по росту последний во взводе,0
заедь пожалуйста в отдел кадров и отвези туда груз,1
иди пожалуйста в библиотека и доставь прибор оттуда,1
товарищ генерал там немецкий генерал,0
приедь в кабинет 491 и захвати груз сюда,1
пожалуйста отвези прибор в кабинет 404,1
знакомы мы его прошлой осенью спасали,0
доберись пожалуйста в библиотека и доставь объект туда и возвращайся,1
прибудь в медпункт и отвези туда чашка,1
пожалуйста отвези работа из пункт 458,1
вы были на правом фланге,0
отвези прибор пожалуйста в пункт 233 и поезжай назад,1
сейчас как раз это делаем,0
 захвати прибор из отдел кадров,1
принеси работа из кабинет 973,1
погоди впусти танки на мост,0
почему не запросили штаб тринадцатой армии,0
собирай на территорию форта как у соседей,0
сгоняй в пункт 812 и доставь туда груз,1
конечно это не буквально так,0
дела таковы кого разжалуют кого снимают,0
с отцом мне поговорить или сам скажешь,0
доберись в медпункт и отвези оттуда объект,1
приедь пожалуйста в медпункт и возьми туда прибор и приедь назад,1
захвати груз в кабинет 184,1
рассчитываю когда юнкерсы снова пожалуют,0
принеси документ пожалуйста в кабинет 579 и переместись назад,1
возьми объект в кабинет 109 и возвращайся,1
судить за все что произошло здесь,0
я веду группу с дальнего востока,0
пожалуйста принеси объект из пункт 817,1
это тот что так горячо выступал на митинге,0
возьми документ пожалуйста из отдел кадров,1
да мы не над тобой,0
сперва к нему приноровиться нужно,0
 возьми документ в отдел кадров и приедь назад,1
поезжай в кабинет 791 и принеси прибор туда,1
 принеси работа в кабинет 196 и переместись назад,1
захвати документ пожалуйста из библиотека,1
положим полк а задачу не выполним,0
принеси чашка в медпункт и возвращайся,1
смотрите а в самолете ни одной пробоины,0
возьми работа из библиотека,1
давно в армии товарищ волков,0
ополченцы идем на специальное задание,0
пожалуйста отвези прибор из библиотека,1
ты что семен в драке был,0
не вернулся с боевого задания лычкин,0
сгоняй пожалуйста в медпункт и доставь оттуда прибор,1
переместись в кабинет 601 и возьми работа туда и возвращайся,1
ты кем был до войны васин,0
пожалуйста принеси чашка в библиотека,1
возьми работа в библиотека и переместись назад,1
отвези груз в медпункт,1
вези дальше тут тысяча двадцать шестой,0
сгоняй в отдел кадров и возьми сюда объект,1
что сынок на лошадей больше надежда,0
доберись в пункт 849 и отвези объект оттуда,1
а на партактиве ты выступал смело,0
доберись пожалуйста в библиотека и возьми прибор сюда,1
доставь документ в медпункт и прибудь назад,1
ветер утих без воронки заправимся,0
возьми груз в библиотека и возвращайся,1
потоп уцепиться не за что,0
принеси документ в кабинет 367 и иди назад,1
что будем делать николай антонович,0
матрос железняк был первым штурманом,0
простяков мне приказано принять дивизию,0
в том и беда что записано,0
дмитрий федорович как ведет себя противник,0
принеси документ пожалуйста из медпункт,1
в родном доме стены греют,0
после войны отдохну товарищ командир,0
лидер проявил к нему несправедливость,0
сколько именно этого я не знал,0
ну вот и хорошо завтра накроем огнем,0
вы вижу не новичок на фронте,0
ты видела куда он ушел,0
значит пороху еще не нюхали,0
принеси документ из кабинет 30,1
 доставь прибор в пункт 154,1
а еще немного нельзя один круг,0
во первых не ага а так точно,0
иди пожалуйста в пункт 78 и отвези сюда чашка,1
связались бы через штаб фронта,0
отвези работа пожалуйста из медпункт,1
принеси чашка пожалуйста в библиотека,1
поезжай в библиотека и доставь сюда чашка,1
туман вы видели этот проклятый туман,0
